False Friend,Wrong Translation,Correct Translation,en sentence1,en sentence2,se sentence1,se sentence2
ask,ask,small box; ash (tree),i’ll ask her if she’s coming to the meeting.,don’t be afraid to ask questions in class.,jag har en liten ask.,asken står i min trädgård.
bad,bad,bath,that movie was so bad i walked out halfway.,he has a bad habit of interrupting people.,barnet måste ta sitt bad.,ett bad är nödvändigt nu.
barn,barn,"child, children",the cows sleep in the barn during winter.,we stored the hay bales in the old wooden barn.,alla barn måste gå i skolan.,hon vill gärna ha barn.
block,block,can mean note pad,the road was closed due to a fallen block of concrete.,she used her hand to block the sun from her eyes.,nu skall vi köpa ett block att skriva på.,alla barn i skolan måste ha ett block.
brand,brand,fire (the emergency),nike is a popular brand of athletic clothing.,they decided to rebrand the company with a fresh new logo.,det var en stor brand i stockholm år 1783.,jag är rädd för brand hemma.
diverse,diverse,various,the city has a diverse population from many countries.,"her music taste is very diverse, ranging from jazz to metal.",han säljer diverse saker.,hon studerar diverse ämnen på universitetet.
egg,egg,"edge of a cutting tool, such as knife edge",i had a boiled egg for breakfast.,he threw an egg at the sign as a prank.,kniven har en vass egg.,eggen måste vässas.
far,far,father,she moved far away from her hometown.,the mountain peak looked far in the distance.,far är rar.,min far är läkare.
fart,fart,speed,he tried to hide a loud fart during the meeting.,the kids laughed when someone let out a fart in class.,de håller för hög fart här.,jag gillar hög fart.
fast,fast,"firm, steady (compare ""steadfast"")",she runs really fast for her age.,they had to fast before the medical test.,hans vilja är fast.,han har en fast anställning.
fat,fat,(dinner) plate,the doctor advised him to reduce his fat intake.,the cat grew fat from eating too much.,han har ett stort fat framför sig.,nu är deras fat tomt.
flint,flint,bald head,early humans used flint to start fires.,the arrowhead was made from sharpened flint.,han har en rejäl flint.,han tittar på sin flint.
gift,gift,"married, poison",she received a lovely gift for her birthday.,he has a gift for learning languages quickly.,snart är hon gift.,hon vill ge honom gift.
glass,glass,icecream,he poured the juice into a glass.,the window shattered and pieces of glass fell everywhere.,glass är gott.,jag ãlskar glass.
hot,hot,threat,it’s too hot outside to go for a walk.,the coffee was still hot when she took a sip.,hon ser honom som ett hot.,det är inget hot.
i,i,in,i love spending weekends with my family.,i think we should leave now before it rains.,det är varmt i israel nu.,jag har ont i magen.
is,is,ice,she is my best friend.,that book is very interesting.,is är  mycket kallt.,is är användbart.
island,island,Iceland,they spent their honeymoon on a tropical island.,the island is known for its rare bird species.,island är en ö.,vikingarna upptäckte island.
kid,kid,fawn,the kid spilled juice on the floor.,i used to climb trees when i was a kid.,rådjuret har ett kid.,det var ett vackert kid.
kind,kind,cheek,it was kind of him to offer his seat.,she always tries to be kind to strangers.,min högra kind är större än min vänstra.,han har ont i höger kind.
